	organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
10	Anaerostipes_sp_3_2_56FAA	Anaerostipes_sp_3_2_56FAA_665937_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	1083	1138	942	Ines_Thiele	06_29_12	3.0	649989907.0	665937.0	Kbase	
11	Anaerotruncus_colihominis_DSM_17241	Anaerotruncus_colihominis_DSM_17241_445972_6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	793	1087	886	Ines_Thiele	04_20_12	4.0	641736271.0	445972.0	Kbase	
12	Bacillus_cereus_AH187_F4810_72	Bacillus_cereus_AH187_405534_9	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Facultative_anaerobe	Respiration_or_fermentation_of_carbohydrates_and_central_metabolism_intermediates	Positive	Commensal	1125	1557	1112	Eugen_Bauer	08_03_14	4.0	643348510.0	405534.0	Kbase	
13	Bacillus_cereus_G9842	Bacillus_cereus_G9842_405531_7	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Facultative_anaerobe	Respiration_or_fermentation_of_carbohydrates_and_central_metabolism_intermediates	Positive	Commensal	1128	1569	1113	Eugen_Bauer	08_03_14	2.0	643348513.0	405531.0	Kbase	
14	Bacteroides_caccae_ATCC_43185	Bacteroides_caccae_ATCC_43185_411901_7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	791	1226	953	Ines_Thiele	04_20_12	2.0	640963023.0	411901.0	ModelSEED	
15	Bacteroides_cellulosilyticus_DSM_14838	Bacteroides_cellulosilyticus_DSM_14838_537012_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	919	1301	1012	Ines_Thiele	04_20_12	4.0	643886111.0	537012.0	ModelSEED	
16	Bacteroides_coprocola_M16_DSM_17136	Bacteroides_coprocola_DSM_17136_470145_6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	703	1087	883	Ines_Thiele	04_20_12	3.0	642791613.0	310298.0	Kbase	
17	Bacteroides_coprophilus_DSM_18228	Bacteroides_coprophilus_DSM_18228_547042_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	698	1074	870	Ines_Thiele	04_20_12	1.0	643886197.0	547042.0	ModelSEED	
18	Bacteroides_dorei_DSM_17855	Bacteroides_dorei_DSM_17855_483217_6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	858	1152	945	Ines_Thiele	04_20_12	4.0	642979370.0	483217.0	ModelSEED	
19	Bacteroides_eggerthii_1_2_48FAA	Bacteroides_eggerthii_1_2_48FAA_665953_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	797	1178	944	Ines_Thiele	04_20_12	4.0	649989912.0	665953.0	Kbase	
20	Bacteroides_eggerthii_DSM_20697	Bacteroides_eggerthii_DSM_20697_483216_6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	752	1158	935	Ines_Thiele	06_29_12	4.0	642979334.0	483216.0	Kbase	
21	Bacteroides_finegoldii_DSM_17565	Bacteroides_finegoldii_DSM_17565_483215_6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	778	1091	889	Ines_Thiele	04_20_12	4.0	2562617142.0	483215.0	Kbase	
22	Bacteroides_fragilis_3_1_12	Bacteroides_fragilis_3_1_12_457424_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	848	1222	973	Ines_Thiele	04_20_12	4.0	645058788.0	457424.0	ModelSEED	
23	Bacteroides_fragilis_638R	Bacteroides_fragilis_638R_862962_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	803	1234	973	Eugen_Bauer	08_03_14	1.0	650377910.0	862962.0	ModelSEED	
24	Bacteroides_fragilis_NCTC_9343	Bacteroides_fragilis_NCTC_9343_272559_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	800	1261	991	Eugen_Bauer	09_03_14	3.0	637000024.0	272559.0	ModelSEED	
25	Bacteroides_fragilis_YCH46	Bacteroides_fragilis_YCH46_295405_11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	805	1256	986	Eugen_Bauer	09_03_14	4.0	637000025.0	295405.0	Kbase	
26	Bacteroides_intestinalis_341_DSM_17393	Bacteroides_intestinalis_DSM_17393_471870_8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	858	1194	942	Ines_Thiele	04_20_12	3.0	642791621.0	329854.0	ModelSEED	
27	Bacteroides_ovatus_ATCC_8483	Bacteroides_ovatus_ATCC_8483_411476_11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	892	1282	988	Ines_Thiele	04_20_12	4.0	641380449.0	411476.0	Kbase	
28	Bacteroides_ovatus_SD_CC_2a	Bacteroides_ovatus_SD_CC_2a_702444_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	897	1157	907	Ines_Thiele	06_29_12	3.0	647000212.0	702444.0	Kbase	
29	Bacteroides_ovatus_SD_CMC_3f	Bacteroides_ovatus_SD_CMC_3f_702443_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	907	1171	918	Ines_Thiele	06_29_12	4.0	647000213.0	702443.0	Kbase	
30	Bacteroides_pectinophilus_ATCC_43243	Bacteroides_pectinophilus_ATCC_43243_483218_5	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	Obligate_anaerobe	Saccharolytic_fermentative	Negative	Commensal	640	935	795	Ines_Thiele	04_20_12	4.0	642979337.0	483218.0	Kbase	
31	Bacteroides_plebeius_M12_DSM_17135	Bacteroides_plebeius_DSM_17135_484018_6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate_anaerobe	Saccharolytic_fermentative	Negative	Commensal	743	1056	883	Ines_Thiele	04_20_12	1.0	642979351.0	310297.0	Kbase	
32	Bacteroides_sp_1_1_14	Bacteroides_sp_1_1_14_469585_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	898	1052	869	Ines_Thiele	06_29_12	2.0	648861000.0	469585.0	Kbase	
33	Bacteroides_sp_1_1_30	Bacteroides_sp_1_1_30_457387_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	860	1071	888	Ines_Thiele	06_29_12	2.0	651324013.0	457387.0	Kbase	
34	Bacteroides_sp_1_1_6	Bacteroides_sp_1_1_6_469586_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	890	1102	903	Ines_Thiele	06_29_12	2.0	646206272.0	469586.0	Kbase	
35	Bacteroides_sp_20_3	Bacteroides_sp_20_3_469591_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	857	1187	962	Ines_Thiele	06_29_12	4.0	648861001.0	469591.0	Kbase	
36	Bacteroides_sp_2_1_22	Bacteroides_sp_2_1_22_469588_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	869	1085	891	Ines_Thiele	06_29_12	4.0	647533111.0	469588.0	Kbase	
37	Bacteroides_sp_2_1_33B	Bacteroides_sp_2_1_33B_469589_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	824	1219	976	Ines_Thiele	04_20_12	1.0	647533112.0	469589.0	Kbase	
38	Bacteroides_sp_2_1_7	Bacteroides_sp_2_1_7_457388_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	847	1236	993	Ines_Thiele	04_20_12	1.0	645058782.0	457388.0	Kbase	
39	Bacteroides_sp_2_2_4	Bacteroides_sp_2_2_4_469590_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	930	1123	917	Ines_Thiele	06_29_12	1.0	646206266.0	469590.0	Kbase	
40	Bacteroides_sp_3_1_19	Bacteroides_sp_3_1_19_469592_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	869	1228	987	Ines_Thiele	06_29_12	1.0	648861002.0	469592.0	Kbase	
41	Bacteroides_sp_3_1_23	Bacteroides_sp_3_1_23_457390_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	916	1095	896	Ines_Thiele	06_29_12	3.0	648861003.0	457390.0	Kbase	
42	Bacteroides_sp_3_1_33FAA	Bacteroides_sp_3_1_33FAA_457391_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	845	1136	932	Ines_Thiele	06_29_12	2.0	647533113.0	457391.0	Kbase	
43	Bacteroides_sp_3_1_40A	Bacteroides_sp_3_1_40A_469593_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	839	1132	938	Ines_Thiele	06_29_12	1.0	649989913.0	469593.0	Kbase	
44	Bacteroides_sp_3_2_5	Bacteroides_sp_3_2_5_457392_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	853	1126	929	Ines_Thiele	06_29_12	1.0	2558309115.0	457392.0	Kbase	
45	Bacteroides_sp_4_1_36	Bacteroides_sp_4_1_36_457393_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	825	1113	934	Ines_Thiele	06_29_12	1.0	649989914.0	457393.0	Kbase	
46	Bacteroides_sp_4_3_47FAA	Bacteroides_sp_4_3_47FAA_457394_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	829	1158	959	Ines_Thiele	04_20_12	1.0	646206274.0	457394.0	Kbase	
47	Bacteroides_sp_9_1_42FAA	Bacteroides_sp_9_1_42FAA_457395_6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	867	1193	950	Ines_Thiele	04_20_12	1.0	646206263.0	457395.0	ModelSEED	
48	Bacteroides_sp_D1	Bacteroides_sp_D1_556258_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	869	1085	891	Ines_Thiele	06_29_12	1.0	646206264.0	556258.0	ModelSEED	
49	Bacteroides_sp_D2	Bacteroides_sp_D2_556259_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	921	1135	942	Ines_Thiele	06_29_12	1.0	2562617173.0	556259.0	ModelSEED	
50	Bacteroides_sp_D20	Bacteroides_sp_D20_585543_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	831	1111	930	Ines_Thiele	06_29_12	1.0	647533114.0	585543.0	ModelSEED	
51	Bacteroides_sp_D22	Bacteroides_sp_D22_585544_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	878	1087	893	Ines_Thiele	06_29_12	1.0	648861004.0	585544.0	Kbase	
52	Bacteroides_stercoris_ATCC_43183	Bacteroides_stercoris_ATCC_43183_449673_7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	738	1179	947	Ines_Thiele	04_20_12	1.0	641736196.0	449673.0	Kbase	
53	Bacteroides_thetaiotaomicron_VPI_5482	Bacteroides_thetaiotaomicron_VPI_5482_226186_12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate_anaerobe	Saccharolytic_fermentative	Negative	Commensal	840	1362	1029	Eugen_Bauer	09_03_14	1.0	637000026.0	226186.0	Kbase	
54	Bacteroides_uniformis_ATCC_8492	Bacteroides_uniformis_ATCC_8492_411479_10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	850	1185	955	Ines_Thiele	04_20_12	1.0	641380447.0	411479.0	Kbase	
55	Bacteroides_vulgatus_ATCC_8482	Bacteroides_vulgatus_ATCC_8482_435590_9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	801	1303	993	Eugen_Bauer	08_03_14	1.0	640753008.0	435590.0	Kbase	
56	Bacteroides_xylanisolvens_SD_CC_1b	Bacteroides_xylanisolvens_SD_CC_1b_702447_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	886	1095	892	Ines_Thiele	06_29_12	3.0	647000215.0	702447.0	Kbase	
57	Bacteroides_xylanisolvens_XB1A	Bacteroides_xylanisolvens_XB1A_657309_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic_fermentative	Negative	Commensal	871	1109	877	Ines_Thiele	04_20_12	1.0	650377911.0	657309.0	Kbase	
58	Bartonella_quintana_Toulouse	Bartonella_quintana_str_Toulouse_283165_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Aerobe	Strictly_respiratory_asaccharolytic	Negative	Pathogen	453	891	752	Eugen_Bauer	08_03_14	1.0	637000028.0	283165.0	Kbase	
59	Bifidobacterium_adolescentis_ATCC_15703	Bifidobacterium_adolescentis_ATCC_15703_367928_6	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	535	1052	826	Eugen_Bauer	08_03_14	1.0	639633010.0	367928.0	Kbase	
60	Bifidobacterium_angulatum_DSM_20098	Bifidobacterium_angulatum_DSM_20098	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	564	905	723	Ines_Thiele	06_29_12	1.0	2562617143.0	518635.0	Kbase	
61	Bifidobacterium_animalis_lactis_AD011	Bifidobacterium_animalis_subsp_lactis_AD011_442563_4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	486	789	616	Ines_Thiele	06_29_12	1.0	643348515.0	442563.0	Kbase	
62	Bifidobacterium_animalis_lactis_BB_12	Bifidobacterium_animalis_subsp_lactis_BB_12_552531_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	496	964	757	Eugen_Bauer	08_03_14	1.0	646862308.0	552531.0	Kbase	
63	Bifidobacterium_animalis_lactis_Bi_07	Bifidobacterium_animalis_subsp_lactis_Bi_07_742729_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	484	944	748	Eugen_Bauer	08_03_14	3.0	2540341089.0	742729.0	Kbase	
64	Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	Bifidobacterium_animalis_subsp_lactis_Bl_04_580050_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	484	944	748	Eugen_Bauer	08_03_14	3.0	644736329.0	580050.0	Kbase	
65	Bifidobacterium_animalis_lactis_CNCM_I_2494	Bifidobacterium_animalis_subsp_lactis_CNCM_I_2494_1042403_4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	483	991	776	Eugen_Bauer	08_03_14	4.0	651053004.0	1042403.0	Kbase	
66	Bifidobacterium_animalis_lactis_DSM_10140	Bifidobacterium_animalis_subsp_lactis_DSM_10140_555970_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	485	944	748	Eugen_Bauer	08_03_14	1.0	644736330.0	302911.0	Kbase	
67	Bifidobacterium_animalis_lactis_V9	Bifidobacterium_animalis_subsp_lactis_V9_573236_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	486	944	748	Eugen_Bauer	08_03_14	1.0	646862309.0	573236.0	Kbase	
68	Bifidobacterium_bifidum_BGN4	Bifidobacterium_bifidum_BGN4_484020_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	502	1016	823	Eugen_Bauer	08_03_14	3.0	2526164719.0	484020.0	Kbase	
69	Bifidobacterium_bifidum_NCIMB_41171	Bifidobacterium_bifidum_NCIMB_41171_398513_5	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	546	917	713	Ines_Thiele	06_29_12	5.0	643886040.0	398513.0	Kbase	
70	Bifidobacterium_bifidum_PRL2010	Bifidobacterium_bifidum_PRL2010_702459_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	505	1075	851	Eugen_Bauer	08_03_14	1.0	649633015.0	702459.0	Kbase	
71	Bifidobacterium_bifidum_S17	Bifidobacterium_bifidum_S17_883062_5	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	499	1018	828	Eugen_Bauer	08_03_14	1.0	649633016.0	883062.0	Kbase	
72	Bifidobacterium_breve_HPH0326	Bifidobacterium_breve_HPH0326_1203540_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	549	1046	808	Eugen_Bauer	09_03_14	1.0	2541047014.0	1203540.0	Kbase	
73	Bifidobacterium_breve_UCC2003_NCIMB8807	Bifidobacterium_breve_UCC2003_326426_4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	548	1096	844	Eugen_Bauer	08_03_14	1.0	651053006.0	326426.0	Kbase	
74	Bifidobacterium_catenulatum_DSM_16992	Bifidobacterium_catenulatum_DSM_16992	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	571	850	690	Ines_Thiele	04_20_12	1.0	642979312.0	566552.0	Kbase	
75	Bifidobacterium_dentium_ATCC_27678	Bifidobacterium_dentium_ATCC_27678_473819_7	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	600	1048	837	Eugen_Bauer	09_03_14	1.0	641736189.0	473819.0	Kbase	
76	Bifidobacterium_gallicum_DSM_20093	Bifidobacterium_gallicum_DSM_20093_561180_4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	514	839	657	Ines_Thiele	08_06_12	1.0	2562617144.0	561180.0	Kbase	
77	Bifidobacterium_longum_DJO10A	Bifidobacterium_longum_DJO10A_Prj_321_205913_11	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	527	1048	840	Eugen_Bauer	09_03_14	1.0		205913.0	Kbase	
78	Bifidobacterium_longum_E18	Bifidobacterium_longum_subsp_infantis_157F_565040_3	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	519	1036	861	Eugen_Bauer	08_03_14	1.0	2528768018.0	1322347.0	Kbase	
79	Bifidobacterium_longum_NCC2705	Bifidobacterium_longum_NCC2705_206672_9	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Probiotic	560	874	731	Ines_Thiele	06_29_12	1.0	637000031.0	206672.0	ModelSEED	
