organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
Bacteroides eggerthii DSM 20697	Bacteroides eggerthii DSM 20697 (483216.6)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	752	1158	935	Ines Thiele	06/29/12	4	642979334	483216	Kbase	
Bacteroides finegoldii DSM 17565	Bacteroides finegoldii DSM 17565 (483215.6)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	778	1091	889	Ines Thiele	04/20/12	4	2562617142	483215	Kbase	
Bacteroides fragilis 3_1_12	Bacteroides fragilis 3_1_12 (457424.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	848	1222	973	Ines Thiele	04/20/12	4	645058788	457424	ModelSEED	
Bacteroides fragilis 638R	Bacteroides fragilis 638R (862962.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	803	1234	973	Eugen Bauer	08/03/14	1	650377910	862962	ModelSEED	
Bacteroides fragilis NCTC 9343	Bacteroides fragilis NCTC 9343 (272559.17)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	800	1261	991	Eugen Bauer	09/03/14	3	637000024	272559	ModelSEED	
Bacteroides fragilis YCH46	Bacteroides fragilis YCH46 (295405.11)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	805	1256	986	Eugen Bauer	09/03/14	4	637000025	295405	Kbase	
Bacteroides intestinalis 341, DSM 17393	Bacteroides intestinalis DSM 17393 (471870.8)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	858	1194	942	Ines Thiele	04/20/12	3	642791621	329854	ModelSEED	
Bacteroides ovatus ATCC 8483	Bacteroides ovatus ATCC 8483 (411476.11)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	892	1282	988	Ines Thiele	04/20/12	4	641380449	411476	Kbase	
Bacteroides ovatus SD CC 2a	Bacteroides ovatus SD CC 2a (702444.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	897	1157	907	Ines Thiele	06/29/12	3	647000212	702444	Kbase	
Bacteroides ovatus SD CMC 3f	Bacteroides ovatus SD CMC 3f (702443.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	907	1171	918	Ines Thiele	06/29/12	4	647000213	702443	Kbase	
Bacteroides pectinophilus ATCC 43243	Bacteroides pectinophilus ATCC 43243 (483218.5)	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified Clostridiales	unclassified Clostridiales	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	640	935	795	Ines Thiele	04/20/12	4	642979337	483218	Kbase	
Bacteroides plebeius M12, DSM 17135	Bacteroides plebeius DSM 17135 (484018.6)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	743	1056	883	Ines Thiele	04/20/12	1	642979351	310297	Kbase	
Bacteroides sp. 1_1_14	Bacteroides sp. 1_1_14 (469585.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	898	1052	869	Ines Thiele	06/29/12	2	648861000	469585	Kbase	
Bacteroides sp. 1_1_30	Bacteroides sp. 1_1_30 (457387.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	860	1071	888	Ines Thiele	06/29/12	2	651324013	457387	Kbase	
Bacteroides sp. 1_1_6	Bacteroides sp. 1_1_6 (469586.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	890	1102	903	Ines Thiele	06/29/12	2	646206272	469586	Kbase	
Bacteroides sp. 20_3	Bacteroides sp. 20_3 (469591.4)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	857	1187	962	Ines Thiele	06/29/12	4	648861001	469591	Kbase	
Bacteroides sp. 2_1_22	Bacteroides sp. 2_1_22 (469588.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	869	1085	891	Ines Thiele	06/29/12	4	647533111	469588	Kbase	
Bacteroides sp. 2_1_33B	Bacteroides sp. 2_1_33B (469589.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	824	1219	976	Ines Thiele	04/20/12	1	647533112	469589	Kbase	
Bacteroides sp. 2_1_7	Bacteroides sp. 2_1_7 (457388.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	847	1236	993	Ines Thiele	04/20/12	1	645058782	457388	Kbase	
Bacteroides sp. 2_2_4	Bacteroides sp. 2_2_4 (469590.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	930	1123	917	Ines Thiele	06/29/12	1	646206266	469590	Kbase	
Bacteroides sp. 3_1_19	Bacteroides sp. 3_1_19 (469592.4)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	869	1228	987	Ines Thiele	06/29/12	1	648861002	469592	Kbase	
Bacteroides sp. 3_1_23	Bacteroides sp. 3_1_23 (457390.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	916	1095	896	Ines Thiele	06/29/12	3	648861003	457390	Kbase	
Bacteroides sp. 3_1_33FAA	Bacteroides sp. 3_1_33FAA (457391.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	845	1136	932	Ines Thiele	06/29/12	2	647533113	457391	Kbase	
Bacteroides sp. 3_1_40A	Bacteroides sp. 3_1_40A (469593.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	839	1132	938	Ines Thiele	06/29/12	1	649989913	469593	Kbase	
Bacteroides sp. 3_2_5	Bacteroides sp. 3_2_5 (457392.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	853	1126	929	Ines Thiele	06/29/12	1	2558309115	457392	Kbase	
Bacteroides sp. 4_1_36	Bacteroides sp. 4_1_36 (457393.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	825	1113	934	Ines Thiele	06/29/12	1	649989914	457393	Kbase	
Bacteroides sp. 4_3_47FAA	Bacteroides sp. 4_3_47FAA (457394.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	829	1158	959	Ines Thiele	04/20/12	1	646206274	457394	Kbase	
Bacteroides sp. 9_1_42FAA	Bacteroides sp. 9_1_42FAA (457395.6)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	867	1193	950	Ines Thiele	04/20/12	1	646206263	457395	ModelSEED	
Bacteroides sp. D1	Bacteroides sp. D1 (556258.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	869	1085	891	Ines Thiele	06/29/12	1	646206264	556258	ModelSEED	
Bacteroides sp. D2	Bacteroides sp. D2 (556259.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	921	1135	942	Ines Thiele	06/29/12	1	2562617173	556259	ModelSEED	
Bacteroides sp. D20	Bacteroides sp. D20 (585543.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	831	1111	930	Ines Thiele	06/29/12	1	647533114	585543	ModelSEED	
Bacteroides sp. D22	Bacteroides sp. D22 (585544.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	878	1087	893	Ines Thiele	06/29/12	1	648861004	585544	Kbase	
Bacteroides stercoris ATCC 43183	Bacteroides stercoris ATCC 43183 (449673.7)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	738	1179	947	Ines Thiele	04/20/12	1	641736196	449673	Kbase	
Bacteroides thetaiotaomicron VPI-5482	Bacteroides thetaiotaomicron VPI-5482 (226186.12)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	840	1362	1029	Eugen Bauer	09/03/14	1	637000026	226186	Kbase	
Bacteroides uniformis ATCC 8492	Bacteroides uniformis ATCC 8492 (411479.10)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	850	1185	955	Ines Thiele	04/20/12	1	641380447	411479	Kbase	
Bacteroides vulgatus ATCC 8482	Bacteroides vulgatus ATCC 8482 (435590.9)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	801	1303	993	Eugen Bauer	08/03/14	1	640753008	435590	Kbase	
Bacteroides xylanisolvens SD CC 1b	Bacteroides xylanisolvens SD CC 1b (702447.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	886	1095	892	Ines Thiele	06/29/12	3	647000215	702447	Kbase	
Bacteroides xylanisolvens XB1A	Bacteroides xylanisolvens XB1A (657309.4)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	871	1109	877	Ines Thiele	04/20/12	1	650377911	657309	Kbase	
Bartonella quintana Toulouse	Bartonella quintana str. Toulouse (283165.4)	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Aerobe	Strictly respiratory, asaccharolytic	Negative	Pathogen	453	891	752	Eugen Bauer	08/03/14	1	637000028	283165	Kbase	
Bifidobacterium adolescentis ATCC 15703	Bifidobacterium adolescentis ATCC 15703 (367928.6)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	535	1052	826	Eugen Bauer	08/03/14	1	639633010	367928	Kbase	
Bifidobacterium angulatum DSM 20098	Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	564	905	723	Ines Thiele	06/29/12	1	2562617143	518635	Kbase	
Bifidobacterium animalis lactis AD011	Bifidobacterium animalis subsp. lactis AD011 (442563.4)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	486	789	616	Ines Thiele	06/29/12	1	643348515	442563	Kbase	
Bifidobacterium animalis lactis BB-12	Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	496	964	757	Eugen Bauer	08/03/14	1	646862308	552531	Kbase	
Bifidobacterium animalis lactis Bi-07	Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	484	944	748	Eugen Bauer	08/03/14	3	2540341089	742729	Kbase	
Bifidobacterium animalis lactis Bl-04, ATCC SD5219	Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	484	944	748	Eugen Bauer	08/03/14	3	644736329	580050	Kbase	
Bifidobacterium animalis lactis CNCM I-2494	Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	483	991	776	Eugen Bauer	08/03/14	4	651053004	1042403	Kbase	
Bifidobacterium animalis lactis DSM 10140	Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	485	944	748	Eugen Bauer	08/03/14	1	644736330	302911	Kbase	
Bifidobacterium animalis lactis V9	Bifidobacterium animalis subsp. lactis V9 (573236.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	486	944	748	Eugen Bauer	08/03/14	1	646862309	573236	Kbase	
Bifidobacterium bifidum BGN4	Bifidobacterium bifidum BGN4 (484020.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	502	1016	823	Eugen Bauer	08/03/14	3	2526164719	484020	Kbase	
Bifidobacterium bifidum NCIMB 41171	Bifidobacterium bifidum NCIMB 41171 (398513.5)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	546	917	713	Ines Thiele	06/29/12	5	643886040	398513	Kbase	
Bifidobacterium bifidum PRL2010	Bifidobacterium bifidum PRL2010 (702459.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	505	1075	851	Eugen Bauer	08/03/14	1	649633015	702459	Kbase	
Bifidobacterium bifidum S17	Bifidobacterium bifidum S17 (883062.5)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	499	1018	828	Eugen Bauer	08/03/14	1	649633016	883062	Kbase	
Bifidobacterium breve HPH0326	Bifidobacterium breve HPH0326 (1203540.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	549	1046	808	Eugen Bauer	09/03/14	1	2541047014	1203540	Kbase	
Bifidobacterium breve UCC2003 (NCIMB8807)	Bifidobacterium breve UCC2003 (326426.4)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	548	1096	844	Eugen Bauer	08/03/14	1	651053006	326426	Kbase	
Bifidobacterium catenulatum DSM 16992	Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	571	850	690	Ines Thiele	04/20/12	1	642979312	566552	Kbase	
Bifidobacterium dentium ATCC 27678	Bifidobacterium dentium ATCC 27678 (473819.7)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	600	1048	837	Eugen Bauer	09/03/14	1	641736189	473819	Kbase	
Bifidobacterium gallicum DSM 20093	Bifidobacterium gallicum DSM 20093 (561180.4)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	514	839	657	Ines Thiele	08/06/12	1	2562617144	561180	Kbase	
Bifidobacterium longum DJO10A	Bifidobacterium longum DJO10A (Prj:321) (205913.11)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	527	1048	840	Eugen Bauer	09/03/14	1	NA	205913	Kbase	
Bifidobacterium longum E18	Bifidobacterium longum subsp. infantis 157F (565040.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	519	1036	861	Eugen Bauer	08/03/14	1	2528768018	1322347	Kbase	
Bifidobacterium longum NCC2705	Bifidobacterium longum NCC2705 (206672.9)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	560	874	731	Ines Thiele	06/29/12	1	637000031	206672	ModelSEED	
Bifidobacterium longum infantis 157F-NC	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	567	893	734	Ines Thiele	06/25/12	1	649633017	565040	Kbase	
Bifidobacterium longum infantis ATCC 15697		Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	587	969	758	Ines Thiele	06/29/12	1	NA	1682	Kbase	
Bifidobacterium longum longum ATCC 55813	Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	578	880	723	Eugen Bauer	08/03/14	1	643886140	548480	Kbase	
Bifidobacterium longum longum BBMN68	Bifidobacterium longum subsp. longum BBMN68 (890402.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	533	1066	859	Ines Thiele	04/20/12	5	649633018	890402	Kbase	
Bifidobacterium longum longum CCUG 52486	Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	566	886	733	Eugen Bauer	08/03/14	5	643886216	537937	Kbase	
